ranking,flight_date,airline_code,airline_name,total_flights
9,2010-01-09,YV,Mesa Airlines Inc.,27
10,2010-01-09,FL,AirTran Airways Corporation,25
11,2010-01-09,XE,ExpressJet Airlines Inc. (1),24
12,2010-01-09,CO,Continental Air Lines Inc.,21
13,2010-01-09,B6,JetBlue Airways,19
14,2010-01-09,9E,Endeavor Air Inc.,16
15,2010-01-09,AS,Alaska Airlines Inc.,12
16,2010-01-09,HA,Hawaiian Airlines Inc.,11
17,2010-01-09,OH,Comair Inc.,10
18,2010-01-09,F9,Frontier Airlines Inc.,7
1,2010-01-10,WN,Southwest Airlines Co.,107
2,2010-01-10,DL,Delta Air Lines Inc.,70
3,2010-01-10,OO,SkyWest Airlines Inc.,61
4,2010-01-10,AA,American Airlines Inc.,61
5,2010-01-10,US,US Airways Inc.,43
6,2010-01-10,MQ,Envoy Air,39
7,2010-01-10,UA,United Air Lines Inc.,34
8,2010-01-10,XE,ExpressJet Airlines Inc. (1),34
9,2010-01-10,EV,ExpressJet Airlines Inc.,32
10,2010-01-10,9E,Endeavor Air Inc.,28
11,2010-01-10,FL,AirTran Airways Corporation,27
12,2010-01-10,YV,Mesa Airlines Inc.,25
13,2010-01-10,CO,Continental Air Lines Inc.,24
14,2010-01-10,B6,JetBlue Airways,22
15,2010-01-10,OH,Comair Inc.,14
16,2010-01-10,AS,Alaska Airlines Inc.,14
17,2010-01-10,HA,Hawaiian Airlines Inc.,8
18,2010-01-10,F9,Frontier Airlines Inc.,8
1,2010-01-11,WN,Southwest Airlines Co.,125
2,2010-01-11,DL,Delta Air Lines Inc.,74
3,2010-01-11,OO,SkyWest Airlines Inc.,63
4,2010-01-11,MQ,Envoy Air,56
5,2010-01-11,AA,American Airlines Inc.,56
6,2010-01-11,US,US Airways Inc.,44
7,2010-01-11,EV,ExpressJet Airlines Inc.,43
8,2010-01-11,XE,ExpressJet Airlines Inc. (1),39
9,2010-01-11,UA,United Air Lines Inc.,33
10,2010-01-11,CO,Continental Air Lines Inc.,27
11,2010-01-11,FL,AirTran Airways Corporation,26
12,2010-01-11,9E,Endeavor Air Inc.,25
13,2010-01-11,B6,JetBlue Airways,21
14,2010-01-11,YV,Mesa Airlines Inc.,20
15,2010-01-11,OH,Comair Inc.,16
16,2010-01-11,AS,Alaska Airlines Inc.,14
17,2010-01-11,F9,Frontier Airlines Inc.,9
18,2010-01-11,HA,Hawaiian Airlines Inc.,6
1,2010-01-12,WN,Southwest Airlines Co.,125
2,2010-01-12,DL,Delta Air Lines Inc.,68
3,2010-01-12,OO,SkyWest Airlines Inc.,62
4,2010-01-12,AA,American Airlines Inc.,50
5,2010-01-12,MQ,Envoy Air,45
6,2010-01-12,US,US Airways Inc.,43
7,2010-01-12,XE,ExpressJet Airlines Inc. (1),34
8,2010-01-12,YV,Mesa Airlines Inc.,30
9,2010-01-12,UA,United Air Lines Inc.,27
10,2010-01-12,EV,ExpressJet Airlines Inc.,26
11,2010-01-12,9E,Endeavor Air Inc.,25
12,2010-01-12,CO,Continental Air Lines Inc.,24
13,2010-01-12,FL,AirTran Airways Corporation,23
14,2010-01-12,B6,JetBlue Airways,20
15,2010-01-12,OH,Comair Inc.,15
16,2010-01-12,AS,Alaska Airlines Inc.,13
17,2010-01-12,F9,Frontier Airlines Inc.,8
18,2010-01-12,HA,Hawaiian Airlines Inc.,6
1,2010-01-13,WN,Southwest Airlines Co.,125
2,2010-01-13,DL,Delta Air Lines Inc.,70
3,2010-01-13,AA,American Airlines Inc.,63
4,2010-01-13,OO,SkyWest Airlines Inc.,56
5,2010-01-13,MQ,Envoy Air,51
